id,slug,hub,desk,seniority,shifts,skills,toolset,availability
s_ep1_sp1_emp1,,Sourcing,Culture,Trainee Producer,Morning,"Anchor,Reporter - Print,Reporter - Digital,Graphic Designer  TV",HTML,Hired
s_ep1_sp1_emp2,,Sourcing,Culture,Assistant Producer,Morning,"Graphic Designer  TV,Graphic Designer - Digital","Illustrator,CSS",Hired
s_ep1_sp1,,Sourcing,Culture,Chief Producer,Evening,Graphic Designer  TV,"Photoshop,HTML,JavaScript,InDesign,Illustrator",Hired
s_ep1_sp2_emp1,,Sourcing,Culture,Trainee Producer,Morning,"Reporter - Digital,Graphic Designer - Print","HTML,CSS",Hired
s_ep1_sp2_emp2,,Sourcing,Culture,Trainee Producer,Graveyard,"Reporter - TV,Graphic Designer - Print,Reporter - Digital,Graphic Designer - Digital,Journalist,Developer,Reporter - Print,Copy Editor,Anchor","JavaScript,Photoshop,Illustrator",Hired
s_ep1_sp2,,Sourcing,Culture,Senior Producer,Graveyard,"Graphic Designer - Print,Graphic Designer - Digital,Reporter - Print","JavaScript,HTML,Photoshop,CSS,InDesign",Hired
s_ep1_sp3_emp1,,Sourcing,Culture,Producer,Graveyard,Copy Editor,"InDesign,CSS,Illustrator,Photoshop,JavaScript",Hired
s_ep1_sp3_emp2,,Sourcing,Culture,Associate Producer,Evening,"Graphic Designer  TV,Graphic Designer - Print,Graphic Designer - Digital",JavaScript,Hired
s_ep1_sp3,,Sourcing,Culture,Senior Producer,Graveyard,"Reporter - Digital,Graphic Designer - Print","Illustrator,CSS,Photoshop",Hired
s_ep1,,Sourcing,Culture,Executive Producer,Graveyard,"Graphic Designer  TV,Reporter - TV,Graphic Designer - Digital,Reporter - Digital,Reporter - Print,Copy Editor,Developer","JavaScript,Photoshop,Illustrator",Hired
s_ep2_sp1_emp1,,Sourcing,Research,Trainee Producer,Morning,"Reporter - Digital,Reporter - TV,Graphic Designer - Print,Journalist","JavaScript,CSS,Illustrator,HTML,Photoshop",Hired
s_ep2_sp1_emp2,,Sourcing,Research,Trainee Producer,Graveyard,"Reporter - Print,Copy Editor,Reporter - TV,Developer,Graphic Designer  TV,Journalist,Graphic Designer - Digital,Reporter - Digital,Anchor","CSS,JavaScript,Illustrator,InDesign,Photoshop,HTML",Hired
s_ep2_sp1,,Sourcing,Research,Senior Producer,Evening,"Graphic Designer - Digital,Reporter - TV,Journalist","Illustrator,CSS,Photoshop,JavaScript,HTML,InDesign",Hired
s_ep2_sp2_emp1,,Sourcing,Research,Producer,Graveyard,"Graphic Designer - Print,Journalist,Anchor,Reporter - Digital,Copy Editor,Graphic Designer - Digital,Developer,Graphic Designer  TV","Illustrator,JavaScript,HTML,InDesign,Photoshop",Hired
s_ep2_sp2_emp2,,Sourcing,Research,Trainee Producer,Evening,"Developer,Graphic Designer - Print,Graphic Designer - Digital,Anchor,Reporter - Print,Reporter - Digital,Journalist,Reporter - TV,Graphic Designer  TV,Copy Editor","Photoshop,HTML",Hired
s_ep2_sp2,,Sourcing,Research,Chief Producer,Evening,"Graphic Designer - Digital,Graphic Designer - Print,Anchor,Developer,Reporter - Print,Copy Editor","Photoshop,JavaScript",Hired
s_ep2_sp3_emp1,,Sourcing,Research,Producer,Morning,"Graphic Designer - Print,Anchor,Journalist,Developer",Photoshop,Hired
s_ep2_sp3_emp2,,Sourcing,Research,Associate Producer,Graveyard,"Developer,Graphic Designer  TV,Reporter - Print,Graphic Designer - Print","CSS,InDesign,Photoshop",Hired
s_ep2_sp3,,Sourcing,Research,Chief Producer,Graveyard,"Developer,Graphic Designer  TV,Anchor,Copy Editor,Graphic Designer - Digital,Journalist,Reporter - Print,Graphic Designer - Print,Reporter - TV","Illustrator,CSS,Photoshop,HTML,InDesign",Hired
s_ep2,,Sourcing,Research,Executive Producer,Morning,"Graphic Designer - Digital,Graphic Designer  TV,Reporter - Digital","Illustrator,HTML,Photoshop,JavaScript,CSS,InDesign",Hired
s_ep3_sp1_emp1,,Sourcing,Alerts,Associate Producer,Morning,"Copy Editor,Graphic Designer - Print,Graphic Designer - Digital,Graphic Designer  TV,Reporter - TV,Developer","HTML,Photoshop,Illustrator",Hired
s_ep3_sp1_emp2,,Sourcing,Alerts,Associate Producer,Morning,"Journalist,Anchor,Graphic Designer  TV","Illustrator,HTML,CSS",Hired
s_ep3_sp1,,Sourcing,Alerts,Senior Producer,Evening,"Reporter - Digital,Graphic Designer - Print,Reporter - Print,Journalist,Graphic Designer - Digital,Copy Editor",InDesign,Hired
s_ep3_sp2_emp1,,Sourcing,Alerts,Producer,Morning,"Journalist,Anchor,Graphic Designer - Print,Reporter - Digital,Reporter - Print,Graphic Designer  TV,Developer,Copy Editor,Graphic Designer - Digital","CSS,InDesign,Illustrator",Hired
s_ep3_sp2_emp2,,Sourcing,Alerts,Trainee Producer,Graveyard,"Developer,Journalist,Graphic Designer - Print,Copy Editor,Reporter - Digital","Illustrator,HTML,CSS,InDesign,Photoshop",Hired
s_ep3_sp2,,Sourcing,Alerts,Senior Producer,Graveyard,"Copy Editor,Graphic Designer - Print,Graphic Designer  TV,Graphic Designer - Digital,Anchor","HTML,CSS,Illustrator,Photoshop",Hired
s_ep3_sp3_emp1,,Sourcing,Alerts,Producer,Evening,Journalist,"InDesign,JavaScript,HTML,Illustrator,CSS",Hired
s_ep3_sp3_emp2,,Sourcing,Alerts,Trainee Producer,Morning,"Anchor,Reporter - Print,Graphic Designer  TV,Journalist,Developer,Graphic Designer - Print,Reporter - TV,Copy Editor","CSS,HTML,Photoshop",Hired
s_ep3_sp3,,Sourcing,Alerts,Senior Producer,Graveyard,"Copy Editor,Graphic Designer - Print,Reporter - Digital,Developer,Anchor,Reporter - TV,Journalist,Graphic Designer  TV,Reporter - Print,Graphic Designer - Digital","HTML,InDesign,Photoshop,JavaScript,CSS",Hired
s_ep3,,Sourcing,Alerts,Executive Producer,Evening,"Reporter - Print,Graphic Designer  TV,Developer,Graphic Designer - Digital,Reporter - Digital","CSS,Photoshop",Hired
s_ep4_sp1_emp1,,Sourcing,Assignment,Producer,Evening,"Reporter - TV,Graphic Designer - Digital,Copy Editor,Developer","JavaScript,CSS,Photoshop",Hired
s_ep4_sp1_emp2,,Sourcing,Assignment,Trainee Producer,Morning,"Journalist,Graphic Designer - Print,Reporter - Print,Graphic Designer  TV,Anchor,Copy Editor,Reporter - TV","JavaScript,HTML,CSS,InDesign",Hired
s_ep4_sp1,,Sourcing,Assignment,Chief Producer,Morning,"Graphic Designer  TV,Reporter - Digital,Anchor,Graphic Designer - Print,Graphic Designer - Digital","InDesign,Illustrator",Hired
s_ep4_sp2_emp1,,Sourcing,Assignment,Trainee Producer,Evening,Developer,"HTML,Illustrator",Hired
s_ep4_sp2_emp2,,Sourcing,Assignment,Associate Producer,Evening,Graphic Designer - Print,"CSS,Illustrator,HTML,InDesign,JavaScript,Photoshop",Hired
s_ep4_sp2,,Sourcing,Assignment,Senior Producer,Morning,"Reporter - TV,Graphic Designer  TV,Graphic Designer - Digital",InDesign,Hired
s_ep4_sp3_emp1,,Sourcing,Assignment,Assistant Producer,Graveyard,"Reporter - TV,Reporter - Print","Illustrator,HTML,JavaScript,Photoshop,InDesign,CSS",Hired
s_ep4_sp3_emp2,,Sourcing,Assignment,Assistant Producer,Evening,"Graphic Designer - Digital,Reporter - Digital,Graphic Designer  TV,Journalist,Graphic Designer - Print","JavaScript,Illustrator",Hired
s_ep4_sp3,,Sourcing,Assignment,Senior Producer,Graveyard,Graphic Designer  TV,"InDesign,HTML,JavaScript,Illustrator,CSS",Hired
s_ep4,,Sourcing,Assignment,Executive Producer,Evening,"Journalist,Anchor,Graphic Designer  TV,Developer,Reporter - Print,Graphic Designer - Digital","InDesign,HTML,Photoshop,CSS",Hired
s_ep5_sp1_emp1,,Sourcing,Control,Associate Producer,Graveyard,"Graphic Designer - Print,Graphic Designer  TV,Reporter - TV,Graphic Designer - Digital,Reporter - Digital,Developer,Copy Editor","Illustrator,Photoshop,HTML",Hired
s_ep5_sp1_emp2,,Sourcing,Control,Associate Producer,Graveyard,"Graphic Designer - Digital,Graphic Designer  TV,Reporter - TV","Illustrator,Photoshop,HTML,InDesign,JavaScript,CSS",Hired
s_ep5_sp1,,Sourcing,Control,Chief Producer,Evening,"Graphic Designer  TV,Graphic Designer - Digital,Developer,Reporter - Digital,Copy Editor,Graphic Designer - Print,Anchor,Reporter - TV,Journalist,Reporter - Print","Illustrator,Photoshop",Hired
s_ep5_sp2_emp1,,Sourcing,Control,Trainee Producer,Graveyard,"Journalist,Developer,Copy Editor,Graphic Designer - Digital,Graphic Designer  TV","CSS,JavaScript,Photoshop,Illustrator",Hired
s_ep5_sp2_emp2,,Sourcing,Control,Producer,Evening,"Graphic Designer - Print,Reporter - TV,Journalist","HTML,Illustrator,InDesign,JavaScript",Hired
s_ep5_sp2,,Sourcing,Control,Chief Producer,Morning,"Graphic Designer - Digital,Graphic Designer - Print,Copy Editor,Developer,Anchor","Illustrator,Photoshop,CSS,JavaScript",Hired
s_ep5_sp3_emp1,,Sourcing,Control,Associate Producer,Morning,"Graphic Designer - Print,Developer,Copy Editor,Anchor,Journalist,Reporter - Digital,Graphic Designer  TV,Reporter - TV,Reporter - Print,Graphic Designer - Digital","CSS,InDesign",Hired
s_ep5_sp3_emp2,,Sourcing,Control,Associate Producer,Morning,"Graphic Designer  TV,Graphic Designer - Digital,Graphic Designer - Print,Reporter - TV,Developer","Photoshop,Illustrator,HTML,JavaScript,CSS",Hired
s_ep5_sp3,,Sourcing,Control,Senior Producer,Graveyard,"Journalist,Graphic Designer - Digital,Graphic Designer  TV,Reporter - Print,Copy Editor,Anchor","Photoshop,InDesign,Illustrator,HTML,JavaScript,CSS",Hired
s_ep5,,Sourcing,Control,Executive Producer,Morning,"Journalist,Copy Editor,Developer,Graphic Designer  TV,Graphic Designer - Print,Reporter - TV,Graphic Designer - Digital","CSS,HTML,InDesign,Illustrator,JavaScript",Hired
s_ep6_sp1_emp1,,Sourcing,Support,Trainee Producer,Morning,"Journalist,Copy Editor,Graphic Designer - Print,Anchor,Reporter - Digital,Graphic Designer  TV,Graphic Designer - Digital,Reporter - Print",Illustrator,Hired
s_ep6_sp1_emp2,,Sourcing,Support,Trainee Producer,Graveyard,"Reporter - TV,Graphic Designer - Print,Graphic Designer  TV,Anchor,Journalist,Reporter - Print,Reporter - Digital,Developer","JavaScript,HTML,InDesign,Illustrator,CSS,Photoshop",Hired
s_ep6_sp1,,Sourcing,Support,Chief Producer,Evening,"Journalist,Copy Editor,Reporter - Print,Reporter - TV,Graphic Designer - Print,Graphic Designer  TV,Graphic Designer - Digital,Anchor",Illustrator,Hired
s_ep6_sp2_emp1,,Sourcing,Support,Producer,Morning,"Graphic Designer  TV,Copy Editor",JavaScript,Hired
s_ep6_sp2_emp2,,Sourcing,Support,Associate Producer,Morning,Copy Editor,"Illustrator,Photoshop,JavaScript",Hired
s_ep6_sp2,,Sourcing,Support,Chief Producer,Graveyard,"Graphic Designer - Print,Journalist,Reporter - Print,Graphic Designer  TV,Reporter - TV,Copy Editor,Anchor,Reporter - Digital,Developer,Graphic Designer - Digital","InDesign,Illustrator,Photoshop",Hired
s_ep6_sp3_emp1,,Sourcing,Support,Associate Producer,Morning,"Developer,Journalist,Graphic Designer - Print,Graphic Designer  TV,Reporter - TV,Anchor",InDesign,Hired
s_ep6_sp3_emp2,,Sourcing,Support,Producer,Graveyard,Journalist,"JavaScript,Illustrator",Hired
s_ep6_sp3,,Sourcing,Support,Senior Producer,Graveyard,"Reporter - TV,Graphic Designer - Print,Copy Editor,Reporter - Digital,Anchor,Journalist,Reporter - Print,Graphic Designer - Digital","HTML,InDesign,Illustrator,JavaScript",Hired
s_ep6,,Sourcing,Support,Executive Producer,Evening,"Journalist,Developer","HTML,CSS,Photoshop,Illustrator,JavaScript,InDesign",Hired
s_mp,,Sourcing,,Managing Producer,Evening,"Graphic Designer - Print,Reporter - Digital,Reporter - Print,Journalist,Copy Editor,Developer",CSS,Hiring
